ChannelName,post_body_text,published_at,LikesCount,SharesCount,CommentsCount,ViewsCount,is_safety_related,compound_score,sentiment
Fox 8 News,Would you get in one?,2025-01-07T02:51:25.000Z,48.0,15.0,24.0,0.0,True,0.0,neutral
fox8news,Two popular rideshare companies are now preparing to offer a new feature: driverless taxis. Read more here: https://t.co/ELzUAeITJI,2025-01-07T02:49:54.000Z,2.0,0.0,0.0,2102.0,True,0.4215,positive
WGN TV,Good idea or an accident (no pun intended) waiting to happen?,2025-01-07T02:37:03.000Z,26.0,2.0,12.0,0.0,True,-0.0516,negative
WGN TV News,Uber and Lyft to offer driverless rideshare cars https://t.co/Bu6E8SvwxW,2025-01-07T02:37:00.000Z,3.0,2.0,4.0,4955.0,True,0.0,neutral
KARK 4 News,Two popular rideshare companies are now preparing to offer a new feature: driverless taxis.,2025-01-07T02:01:10.000Z,22.0,8.0,9.0,0.0,True,0.4215,positive
WMBD,Uber and Lyft are currently training staff on how to maintain the autonomous vehicles ahead of their public launch in the coming months.,2025-01-07T02:00:36.000Z,6.0,0.0,0.0,0.0,True,0.0,neutral
WYZZ,Uber and Lyft are currently training staff on how to maintain the autonomous vehicles ahead of their public launch in the coming months.,2025-01-07T02:00:35.000Z,0.0,0.0,0.0,0.0,True,0.0,neutral
NewsChannel 9,"Two popular rideshare companies are now preparing to offer a new feature: driverless taxis.

",2025-01-07T02:00:29.000Z,16.0,2.0,9.0,0.0,True,0.4215,positive
WMBD News,"Two popular rideshare companies are now preparing to offer a new feature: driverless taxis.

READ MORE HERE: https://t.co/GoYF5R5q70",2025-01-07T02:00:16.000Z,1.0,0.0,0.0,341.0,True,0.4215,positive
NewsChannel 9,"Two popular rideshare companies are now preparing to offer a new feature: driverless taxis.

https://t.co/HAPWdNtOw5",2025-01-07T02:00:12.000Z,0.0,0.0,0.0,599.0,True,0.4215,positive
WFLA News Channel 8,DRIVERLESS TAXIS 🚖 Two popular rideshare companies are preparing to offer a new feature in the coming months.,2025-01-07T01:40:03.000Z,71.0,16.0,86.0,0.0,True,0.4215,positive
KREX 5/Fox 4,IN NATIONAL NEWS — Uber and Lyft to offer driverless rideshare cars https://t.co/1LG6oWB2A5,2025-01-07T01:38:04.000Z,0.0,0.0,0.0,62.0,True,0.0,neutral
KETK NBC,"Two popular rideshare companies are now preparing to offer a new feature: driverless taxis.
",2025-01-07T01:32:11.000Z,10.0,1.0,1.0,0.0,True,0.4215,positive
KFXK FOX51,"Two popular rideshare companies are now preparing to offer a new feature: driverless taxis.
",2025-01-07T01:32:10.000Z,1.0,0.0,0.0,0.0,True,0.4215,positive
8 News Now,"Two popular rideshare companies are now preparing to offer a new feature: driverless taxis.
",2025-01-07T00:32:02.000Z,153.0,8.0,33.0,0.0,True,0.4215,positive
8 News Now,"Two popular rideshare companies are now preparing to offer a new feature: driverless taxis.
https://t.co/rxUipEAZBZ",2025-01-07T00:31:49.000Z,0.0,0.0,1.0,1548.0,True,0.4215,positive
WBTW News13 CBS,Uber and Lyft are currently training staff on how to maintain the autonomous vehicles ahead of their public launch in the coming months.,2025-01-07T00:20:09.000Z,20.0,2.0,1.0,0.0,True,0.0,neutral
KSAN News,"Customers in Atlanta and Austin, Texas, will be able to hail one of these driverless rideshare cars via the Uber app. https://t.co/xc45QCKXhz",2025-01-07T00:19:43.000Z,0.0,0.0,0.0,34.0,True,0.0772,positive
CW39,https://t.co/KwgvcgujMX Uber and Lyft to offer driverless rideshare cars,2025-01-07T00:19:16.000Z,0.0,0.0,0.0,70.0,True,0.0,neutral
KSN TV,Uber and Lyft to offer driverless rideshare cars ,2025-01-07T00:09:02.000Z,6.0,0.0,1.0,0.0,True,0.0,neutral
KSN News Wichita,Uber and Lyft to offer driverless rideshare cars https://t.co/wyy1LUPief,2025-01-07T00:04:50.000Z,0.0,0.0,0.0,887.0,True,0.0,neutral
KPLR11,"Customers in Atlanta and Austin, Texas, will be able to hail one of these driverless rideshare cars via the Uber app.",2025-01-07T00:03:12.000Z,4.0,2.0,4.0,0.0,True,0.0772,positive
CBS 4 News Rio Grande Valley,"Two popular rideshare companies are now preparing to offer a new feature: driverless taxis.
",2025-01-07T00:00:58.000Z,11.0,4.0,3.0,0.0,True,0.4215,positive
KVEO,"Two popular rideshare companies are now preparing to offer a new feature: driverless taxis.
",2025-01-07T00:00:57.000Z,1.0,0.0,0.0,0.0,True,0.4215,positive
CBS 4 News,"Two popular rideshare companies are now preparing to offer a new feature: driverless taxis.
https://t.co/5R9IYLawKM",2025-01-07T00:00:20.000Z,0.0,0.0,0.0,593.0,True,0.4215,positive
